id,question_text,option_a,option_b,option_c,option_d,correct_answer
7b61e044-6acb-475c-82d1-9e8d1dfe1104,What is the capital of France?,Paris,Berlin,Madrid,London,Paris
f1b54cb7-9f1b-4f63-86e4-3858a9e5dbef,What is the highest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse,Mount Everest
67d96b47-075c-4aed-881e-2defa0abc808,What is the currency of Japan?,Yen,Dollar,Pound,Euro,Yen
affea09d-782f-495d-8ea3-f2a6f473591c,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Rembrandt,Leonardo da Vinci
c1d7348d-9cc6-428b-af25-4e453baffe30,What is the largest continent?,Asia,Africa,North America,South America,Asia
f3383586-3b80-49ba-bb03-4c79e0c0a31c,What is the smallest country in the world?,Vatican City,Monaco,Nauru,Tuvalu,Vatican City
9fa65919-ca79-4dc4-ab7b-32a4071b3cfb,What is the chemical symbol for gold?,Au,Ag,Cu,Fe,Au
f4cb60ca-0711-4316-93d1-1fedb2e3fbc2,What is the name of the longest river in Africa?,Nile,Congo,Zambezi,Niger,Nile
7ddb510a-6bd0-4a5c-819a-07333bd71bbb,What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Uranus,Jupiter
92c47953-4f39-4afd-8277-a03f0c83d1d7,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Canberra